id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text
357,THEEMIM,,,Eridani,Upsilon2 Eridani,cache,4,35,33.0385,-30,33,44.429,1.2023164883,-0.5334134844,3.817,G8IIIa,1.38 ± 0.19,,Counterfactual version of BEEMIM (q.v.) created by a cataloguing error aboard a ship with a subjunctive warp drive.
358,THUBAN,,,Draconis,Alpha Draconis,cache,14,4,23.3498,64,22,33.062,3.6843427671,1.123570551,3.6452,A0III ,3.85,,"""Given the means, any species will create dragons; they are, as an ancient poet wrote, a necessary animal."" —Yll"
359,TIEN KWAN,,,Tauri,Zeta Tauri,cache,5,37,38.68542,21,8,33.1588,1.4732531779,0.369007007,3.01,B2 IIIpe,11.2,,"Giant blue star surrounded by an eternally spiraling density wave, a mighty celestial pinwheel."
360,TORCULARIS SEPTENTRIONALIS,,,Piscium,Omicron Piscium,cache,1,45,23.6,9,9,28,0.4598651691,0.1598333744,4.26,G,,,"G-giant, home to a Nominalist sect; its full name is written on the rings of its largest gas giant."
361,TRAPEZIUM,,,Orionis,Theta1 Orionis,cache,5,35,5,5,27,1.6,,,4,O,,,Volatile cluster of hot blue giants in the Orion supernova works. The responsible demiurge has been rebuked.
362,TUREIS,,,Puppis,Rho Puppis,cache,8,7,32.64882,-24,18,15.5679,2.1273126535,-0.4241904835,2.78,F2mF5IIp,1.85,,"Example of a Del Scuti variable, its surface moving inwards and outwards as it turns around. That's what it's all about."
363,TYL,,,Draconis,Epsilon Draconis,cache,19,48,10.3521,70,16,4.549,5.1843807044,1.2264067419,3.9974,G8III ,2.7,,"Yellow giant, orbited by the planet Owlglass, where trickster deities from across the Galaxy observe their convocations."
364,UKDAH,,,Hydrae,Tau Hydrae,cache,9,29,8.9,2,46,8,2.4833780872,0.0483262277,4.59,F,,,"A tangled filament of the galactic animal has snared this G-class star, around which the manifold shudders and heaves."
365,UNUKALHAI,,,Serpentis,Alpha Serpentis,cache,15,44,16.07431,6,25,32.2633,4.1201459915,0.1121483772,2.623,K2 III,,,"K-giant, civilisation on its habitable worlds collapsed due to an obsession with feline images or ""cataclysm""."
366,URODELUS,,,Ursae Minoris,Epsilon Ursae Minoris,cache,16,45,58.1,82,2,14,4.3893648969,1.431819637,4.21,G,,,"G-class giant whose binary companion is feeding off the body of its host, a rare example of stellar cannibalism."
367,USHAKARON,,,Tauri,Xi Tauri,cache,3,27,10.2,9,43,58,0.9039496528,0.1698690176,3.73,B,,,"Triple system, home to Poet, a nemesis device of such wanton efficacy that many of its employers die of remorse."
368,VEGA,,,Lyrae,Alpha Lyrae,cache,18,36,56.33635,38,47,1.2802,4.873565508,0.6769030681,0.03,A0V,2.135 ± 0.074,,"Home to a refined, talented yet modest race who recently announced their decision to transcend, much to everyone's relief."
369,VINDIEMATRIX,,,Virginis,Epsilon Virginis,cache,13,2,10.59785,10,57,32.9415,3.412889385,0.191273258,2.826,G8 III,2.64 ± 0.11,,Somewhat dissolute G-giant which has matured in the last million years and now hardly ever stays out all night.
370,WASAT,,,Geminorum,Delta Geminorum,cache,7,20,7.37978,21,58,56.3377,1.9203988499,0.3836637919,3.53,F0 IV,1.57,,"F-subgiant with planetary companion bearing biosphere spectral fingerprint QQQF00F00F0 (""bizarro world"")"
371,WAZN,,,Columbae,Beta Columbae,cache,5,50,57.5929,-35,46,5.9152,1.5313513694,-0.6242747735,3.105,K1 IIICN+1,1.10 ± 0.20,,"K-giant, attacked with a causality weapon, if ever it is not observed in some world's sky it will cease to have existed."
372,WEZEN,,,Canis Majoris,Delta Canis Majoris,cache,7,8,23.48608,-26,23,35.5474,1.8692102556,-0.460648373,1.84,F8 Ia,16.9 ± 1.6,,"Rare example of a yellow supergiant, a vast crucible of the stellar alchemists, swollen with heavy elements."
373,XESTUS,,,Velorum,Omicron Velorum,cache,8,40,17.58553,-52,55,18.8002,2.2702068834,-0.9236612085,3.6,B3 IV,5.5 ± 0.4,,"Home to the Xrskh, a race who built many enigmatic megastructures and then transcended to escape their subcontractors."
374,YED POSTERIOR,,,Ophiuchi,Epsilon Ophiuchi,cache,16,18,19.28974,-4,41,33.0345,4.2687328106,-0.0818997424,3.22,G9.5 IIIb,1.85 ± 0.05,,"Blushing red giant, site of the planet Elephantis, consecrated to both speakable and unspeakable pleasures."
375,YED PRIOR,,,Ophiuchi,Delta Ophiuchi,cache,16,14,20.73853,-3,41,39.5612,4.2513848771,-0.0644780922,2.75,M0.5 III,1.5,,"Gloomy red giant whose worlds are noted for their stern asceticism, a rival to or subsidiary of YED POSTERIOR (q.v.)."
376,YILDUN,,,Ursae Minoris,Delta Ursae Minoris,cache,17,32,12.9,86,35,11.25,4.5911540472,1.5112187856,4.35,A1Vn,,,"A-dwarf orbited by a lone asteroid, chalk white and ink-shadowed, named the Next-To-Last-Thing."
377,ZANIAH,,,Virginis,Eta Virginis,cache,12,19,54.35783,0,40,0.5095,3.228448806,-0.0116379985,3.89,A2 V,2.5039 ± 0.1246,,"Very close triple system, lost in an eternal and amicable debate about who actually is in orbit about whom."
378,ZAURAK,,,Eridani,Gamma Eridani,cache,3,58,1.76695,-13,30,30.6698,1.0385994012,-0.2357681404,2.95,M,,,"Sombre red giant with obsidian planets, onetime seat of an evil overlord, now reinventing itself as an arts precinct."
379,ZAVAJAVA,,,Virginis,Beta Virginis,cache,11,50,41.71824,1,45,52.991,3.1009932583,0.0308001695,3.604,F9 V,1.25,,"Tatterdemalion carnival star, strung with marquee moons, the music of its spheres goes to a wheezing old calliope."
380,ZOSMA,,,Leonis,Delta Leonis,cache,11,14,6.50142,20,31,25.3853,2.9413525862,0.3582064563,2.56,A4 V,2.2,,An early attempt to run a solar system on magic which was thwarted when several orders of elementals formed trade unions.
381,ZUBEN ELAKRAB,,,Librae,Gamma Librae,cache,15,35,31.54,-14,27,22.4,4.0820007801,-0.2523086752,3.91,K,,,"K-subgiant, claw of the galactic animal. When it was unsheathed it scratched and relieved the Great Voidquake."
382,ZUBEN ELAKRIBI,,,Librae,Delta Librae,cache,15,51,9,-8,31,8,4.1501747951,-0.1486826597,4.43,B9.5V,,,"Blue variable, claw of the galactic animal. It is unsheathed as the dark matter thaws in the cosmic spring."
383,ZUBENELGENUBI,,,Librae,Alpha Librae,cache,14,50,41.18097,-15,59,50.0482,3.8863523503,-0.2792044326,2.7,F,1.33{{+-,,"Quintuple system, claw of the galactic animal. When it was unsheathed, predators on all worlds halted; prey fled."
384,ZUBENESCHEMALI,,,Librae,Beta Librae,cache,15,17,0.41382,-9,22,58.4919,4.001197404,-0.16376275,2.61,B8 V,3.5{{+-,,"Rare blue-green giant, this claw of the galactic animal has not yet been unsheathed."
